Key,ja,en,ko,zh-CN,zh-TW
Func/WriteDefaultOn/Name,WDON,WDON,WDON,WDON,WDON
Func/ClippingCanceler/Name,クリッピングキャンセラー,Clipping Canceler,클리핑 캔슬러,裁剪取消器,裁剪取消器

Func/Carry/Detail,ワープポータルの召喚、だっこ、おんぶなど。,Summon warp portal carry piggyback etc.,워프 포탈 소환 업기 업히기 등.,召唤传送门 抱 背等。,召喚傳送門 抱 背等.
Func/DanceController/Detail,ダンスワールドで表情が動く。,Expressions move in the dance world.,댄스 월드에서 표정이 움직입니다.,舞蹈世界中的表情移动。,舞蹈世界中的表情移動.
Func/Emo/Detail,表情をFlatsPlusで制御(他ギミックから使用),Control expressions with FlatsPlus (used by other gimmicks),FlatsPlus로 표정 제어(다른 기믹에서 사용),用FlatsPlus控制表情(由其他小工具使用),用FlatsPlus控制表情(由其他小工具使用)
Func/Explore/Detail,どこからでも見えるピン、ライト、軌跡表示。,Visible pins lights and trails from anywhere,어디서나 보이는 핀 라이트 궤적 표시,从任何地方都能看到的针 灯 和轨迹,從任何地方都能看到的針 燈 和軌跡
Func/Hoppe/Detail,触れるようにし、頬紅を表示する。,Make touchable and display blush,터치할 수 있게 하고 볼에 홍조를 표시합니다.,使可触摸并显示脸红。,使可觸摸並顯示臉紅.
Func/Ico/Detail,アイコンを表示。,Display icons,아이콘을 표시합니다.,显示图标。,顯示圖標.
Func/Light/Detail,明るさ・照射タイプ・グローバル表示,Adjust brightness irradiation type global display,밝기 조정 조사 유형 글로벌 표시,调整亮度 照射类型 全局显示,調整亮度 照射類型 全局顯示
Func/MakeEmo/Detail,目・口・その他をそれぞれ調整し、固定する。,Adjust and fix eyes mouth etc.,눈 입 등을 조정하고 고정합니다.,调整和固定眼睛 嘴巴等。,調整和固定眼睛 嘴巴等.
Func/MeshSetting/Detail,明るさなどを自動で調整する。,Automatically adjust brightness etc.,밝기 등을 자동으로 조정합니다.,自动调整亮度等.,自動調整亮度等.
Func/Move/Detail,浮遊・高速移動・持続移動,Floating fast movement sustained movement,부유 고속 이동 지속 이동,漂浮 快速移动 持续移动,漂浮 快速移動 持續移動
Func/Onaka/Detail,やわらかくなり、触ることができる。,Becomes soft and touchable,부드러워지고 터치할 수 있습니다.,变得柔软且可触摸,變得柔軟且可觸摸
Func/Pen/Detail,どこでも描ける,Can draw anywhere,어디서나 그릴 수 있습니다.,可以在任何地方绘画,可以在任何地方繪畫
Func/PoseClipper/Detail,アバターを現在の姿勢のまま固定する,Fix avatar in current pose,아바타를 현재 포즈로 고정합니다.,将头像固定在当前姿势,將頭像固定在當前姿勢
Func/Sleep/Detail,3点トラッキング・デスクトップで横になる。,Lay down with 3-point tracking desktop etc.,3점 트래킹 데스크탑 등에서 눕습니다.,进行三点跟踪 在桌面上躺下等.,進行三點跟蹤 在桌面上躺下等.
Func/Tail/Detail,大きさ変更、ゆらす。,Change size and sway,크기 변경 흔들기,改变大小和摇摆,改變大小和搖擺
Func/Link/Detail,他のFlatsPlusユーザの変数を伝送(他ギミックから使用),Transmit variables of other FlatsPlus users (used by other gimmicks),다른 FlatsPlus 사용자의 변수를 전송(다른 기믹에서 사용),传输其他FlatsPlus用户的变量(由其他小工具使用),傳輸其他FlatsPlus用戶的變量(由其他小工具使用)
Func/Sync/Detail,遠くにいるプレイヤーにアバター状態を伝送(他ギミックから使用),Transmit avatar state to players far away (used by other gimmicks),멀리 있는 플레이어에게 아바타 상태를 전송(다른 기믹에서 사용),将头像状态传输给远处的玩家(由其他小工具使用),將頭像狀態傳輸給遠處的玩家(由其他小工具使用)
Func/WriteDefaultOn/Detail,ダンスが通常制御で動くようにアバター全体を調整,Adjust the entire avatar so that the dance moves normally.,댄스가 일반 제어로 움직이도록 전체 아바타를 조정,调整整个头像以使舞蹈正常移动,調整整個頭像以使舞蹈正常移動
Func/ClippingCanceler/Detail,距離が近くてもアバターが消えない,The avatar does not disappear even when the distance is close.,거리가 가까워도 아바타가 사라지지 않습니다,即使距离很近，头像也不会消失,即使距離很近，頭像也不會消失


FlatsPlus_Progress,FlatsPlus 作業中,FlatsPlus in progress,FlatsPlus 작업 중,FlatsPlus 进行中,FlatsPlus 進行中

Editor/AllOff,まとめてOff,All Off,모두 Off,全部关闭,全部關閉
Editor/AllOn,まとめてOn,All On,모두 On,全部打开,全部打開

LogAnalyze/Title,前回のビルド結果,Last build result,이전 빌드 결과,上次构建结果,上次構建結果
LogAnalyze/ExecutionTime,ビルド時刻,Execution time,빌드 시각,执行时间,執行時間
LogAnalyze/FunctionFailure,いくつかの機能導入に失敗しました。ログ情報をPandraまでご連絡ください,Some functions failed to install. Please contact Pandra with the log information.,몇 가지 기능 설치에 실패했습니다. 로그 정보를 Pandra에 연락하세요.,一些功能安装失败。请联系Pandra并提供日志信息。,一些功能安裝失敗。請聯繫Pandra並提供日誌信息。
LogAnalyze/UnknownError,不明なエラーが発生しました。ログ情報をPandraまでご連絡ください,An unknown error occurred. Please contact Pandra with the log information.,알 수 없는 오류가 발생했습니다. 로그 정보를 Pandra에 연락하세요.,发生未知错误。请联系Pandra并提供日志信息。,發生未知錯誤。請聯繫Pandra並提供日誌信息。
LogAnalyze/AllFine,すべて正常に動作しました！,Everything worked fine!,모든 것이 잘 작동했습니다!,一切正常运行！,一切正常運行！
LogAnalyze/CopyLog,報告用のログ情報をコピー,Copy log information for reporting,보고용 로그 정보 복사,复制报告用的日志信息,複製報告用的日誌信息
LogAnalyze/CopyCompleteTitle,コピー完了,Copy Complete,복사 완료,复制完成,複製完成
LogAnalyze/CopyCompleteMessage,ログ情報をクリップボードにコピーしました！\n\rPandraまで連絡をお願いします。\n\r主な受付先：\n\r - Booth \n\r - 問い合わせフォーム \n\r - X\n\r\n\r※ログ情報にはユーザ名などの個人情報が含まれている場合があります。事前に確認してから送信してください。,Log information has been copied to the clipboard!\n\rPlease contact Pandra.\n\rMain contact points:\n\r - Booth \n\r - Inquiry form \n\r - X\n\r\n\r*Log information may contain personal information such as user names. Please check before sending.,로그 정보가 클립보드에 복사되었습니다!\n\rPandra에 연락하세요.\n\r주요 연락처:\n\r - Booth \n\r - 문의 양식 \n\r - X\n\r\n\r*로그 정보에는 사용자 이름과 같은 개인 정보가 포함될 수 있습니다. 보내기 전에 확인하세요.,日志信息已复制到剪贴板！\n\r请联系Pandra。\n\r主要联系点：\n\r - Booth \n\r - 查询表单 \n\r - X\n\r\n\r*日志信息可能包含用户名等个人信息。发送前请检查。,日誌信息已複製到剪貼板！\n\r請聯繫Pandra。\n\r主要聯繫點：\n\r - Booth \n\r - 查詢表單 \n\r - X\n\r\n\r*日誌信息可能包含用戶名等個人信息。發送前請檢查。


Menu/Carry,他者移動,Carry,다른 사람 이동,移动他人,移動他人
Menu/Carry/CallGate,灰ゲート召喚,Call Gray Gate,회색 게이트 소환,召唤灰色传送门,召喚灰色傳送門
Menu/Carry/CallGate/Message,灰色のゲート(他者用ワープポータル)を召喚する。自分は使えない。,Summon a gray gate (warp portal for others). You can't use it.,회색 게이트(다른 사람용 워프 포탈)을 소환합니다. 자신은 사용할 수 없습니다.,召唤灰色传送门(他人用传送门)。自己无法使用。,召喚灰色傳送門(他人用傳送門)。自己無法使用。
Menu/Carry/GateActive,灰ゲート有効,Gray Gate Active,회색 게이트 활성화,激活灰色传送门,激活灰色傳送門
Menu/Carry/GateActive/Message,灰色のゲート(他者用)を有効化しました。,Activated the gray gate (for others).,회색 게이트(다른 사람용)를 활성화했습니다.,激活灰色传送门(他人用)。,激活灰色傳送門(他人用)。
Menu/Carry/CallTakeMe,青ゲート召喚,Call Blue Gate,파란 게이트 소환,召唤蓝色传送门,召喚藍色傳送門
Menu/Carry/CallTakeMe/Message,周囲のFlatsの頭上に青のゲート（自分専用）を召喚する。,Summon a blue gate (for yourself) above the heads of surrounding Flats.,주변 Flats의 머리 위에 파란 게이트(자신 전용)을 소환합니다.,在周围Flats的头顶召唤一个蓝色传送门(自己专用)。,在周圍Flats的頭頂召喚一個藍色傳送門(自己專用)。
Menu/Carry/AllowBlueGate,青のゲート許可,Allow Blue Gate,파란 게이트 허용,允许蓝色传送门,允許藍色傳送門
Menu/Carry/AllowBlueGate/Message,他者が自分に青のゲートを作成することを許可する。,Allow others to create a blue gate for you.,다른 사람이 자신에게 파란 게이트를 만들 수 있도록 허용합니다.,允许其他人为您创建蓝色传送门。,允許其他人為您創建藍色傳送門。
Menu/Carry/Hug,抱っこ,Hug,안기,抱,抱
Menu/Carry/Hug/Message,手で相手を持てる。,You can hold the other person with your hands.,손으로 상대를 안을 수 있습니다.,用手抱住对方。,用手抱住對方。
Menu/Carry/Carry,おんぶ,Carry,업기,背,背
Menu/Carry/Carry/Message,背中に他者が乗れる。,Others can ride on your back.,다른 사람이 등에 탈 수 있습니다.,其他人可以骑在你的背上。,其他人可以騎在你的背上。
Menu/Carry/Distance,距離調整,Distance,거리 조정,调整距离,調整距離
Menu/Carry/Distance/Message,距離を調整する。だっこ・おんぶ共用。,Adjust the distance. Shared with hug and carry.,거리를 조정합니다. 안기 업기와 공용입니다.,调整距离。与拥抱和背部共用。,調整距離。與擁抱和背部共用。
Menu/Carry/Rotation,角度調整,Rotation,각도 조정,调整角度,調整角度
Menu/Carry/Rotation/Message,角度を調整する。全ての「他者移動」共用。,Adjust the angle. Shared with all "Carry".,각도를 조정합니다. 모든 "다른 사람 이동"과 공용입니다.,调整角度。与所有“移动他人”共用。,調整角度。與所有“移動他人”共用。
Func/D_Carry_AllowBlueGateDefault/Name,青ゲート許可,Allow Blue Gate Default,파란 게이트 허용,允许蓝色传送门默认,允许蓝色传送门默认
Func/D_Carry_AllowBlueGateDefault/Detail,他者が自身に青ゲートを作成することを許可する。,Allow others to create a blue gate for yourself.,다른 사람이 자신에게 파란 게이트를 만들 수 있도록 허용합니다.,允许其他人为自己创建蓝色传送门。,允许其他人为自己创建蓝色传送门。
D_Carry_GateMaxRange/Name,最大ゲート距離,Maximum Gate Distance,최대 게이트 거리,最大门距离,最大門距離
D_Carry_GateMaxRange/Detail,ゲートを呼び出せる最大距離,Maximum distance at which gates can be called,게이트를 호출할 수 있는 최대 거리,可以呼叫门的最大距离,可以呼叫門的最大距離


Menu/Move,自身移動,Move,자신 이동,移动自己,移動自己
Menu/Move/FlyDash,飛行 & 高速移動,Fly & Dash,비행 & 고속 이동,飞行 & 快速移动,飛行 & 快速移動
Menu/Move/DashSpeed,移動速度,Move Speed,이동 속도,移动速度,移動速度
Menu/Move/Continue,ホバリング,Hovering,호버링,悬浮,懸浮
Menu/Move/ContinueDirection,ホバリング上下,Hovering Up and Down,호버링 상하,悬浮上下,懸浮上下

Menu/Ico,アイコン,Ico,아이콘,图标,圖標
Menu/Ico/Resonance,共鳴,Resonance,공명,共鸣,共鳴
Menu/Ico/Resonance/Detail,周囲のFlatsにも共鳴アイコンを表示します。,Display resonance icons for surrounding Flats.,주변의 Flats에도 공명 아이콘을 표시합니다.,显示周围Flats的共鸣图标。,顯示周圍Flats的共鳴圖標。
Menu/Ico/VerView,バージョン表示,Version View,버전 보기,版本视图,版本視圖
Menu/Ico/VerView/Detail,周囲のFlatsのFlatsPlusのバージョンを表示します。,Display the version of FlatsPlus for surrounding Flats.,주변의 FlatsPlus의 버전을 표시합니다.,显示周围Flats的FlatsPlus版本。,顯示周圍Flats的FlatsPlus版本。

Editor/CloseProgressBar,プログレスバーを閉じる(バグで残った時用),Close the progress bar (for when it remains due to a bug),프로그레스 바를 닫습니다(버그로 남아있을 때),关闭进度条(因为错误而保留),關閉進度條(因為錯誤而保留)
Editor/Detail,詳細,Detail,상세,详细,詳細
Editor/Detail2,詳細設定,Detail setting,상세 설정,详细设置,詳細設置
Editor/CloseDetail,詳細設定を閉じる,Close detail setting,상세 설정을 닫습니다,关闭详细设置,關閉詳細設置

Func/D_Hoppe_AllowTouch/Name,接触許可,Allow Touch,접촉 허용,允许触摸,允许触摸
Func/D_Hoppe_AllowTouch/Detail,ほっぺたを触ることを許可する,Allow touching the cheeks,볼을 만질 수 있게 허용,允许触摸脸颊,允许触摸脸颊
Func/D_Hoppe_AllowStretch/Name,伸ばす許可,Allow Stretch,늘리기 허용,允许拉伸,允许拉伸
Func/D_Hoppe_AllowStretch/Detail,ほっぺたを伸ばすことを許可する,Allow stretching the cheeks,볼을 늘릴 수 있게 허용,允许拉伸脸颊,允许拉伸脸颊
D_Hoppe_StretchLimit/Name,伸ばす制限,Stretch Limit,늘리기 제한,拉伸限制,拉伸限制
D_Hoppe_StretchLimit/Detail,ほっぺたを伸ばす制限値,Limit value for stretching the cheeks,볼을 늘리는 제한 값,拉伸脸颊的限制值,拉伸脸颊的限制值
Func/D_Hoppe_Blush/Name,頬紅,Blush,볼터치,腮红,腮红
Func/D_Hoppe_Blush/Detail,頬紅を自動制御する,Automatically control the blush,볼터치를 자동으로 제어합니다,自动控制腮红,自动控制腮红
D_Hoppe_Blush_Sensitivity/Name,頬紅感知距離,Blush Sensitivity,볼터치 감지 거리,腮红灵敏度,腮红灵敏度
Func/D_Hoppe_Blush_Sensitivity/Detail,手を近づけたときに頬紅が感知する距離,Distance at which the blush is sensed when the hand is brought close,손을 가까이 가져갔을 때 볼터치가 감지되는 거리,手靠近时感应腮红的距离,手靠近時感應腮紅的距離
Func/D_Hoppe_UseOriginalBlush/Name,元の頬紅を使用,Use Original Blush,원래의 볼터치 사용,使用原始腮红,使用原始腮紅
Func/D_Hoppe_UseOriginalBlush/Detail,アバターオリジナルの頬紅を使用する,Use the original blush of the avatar,아바타의 원래 볼터치를 사용합니다,使用头像的原始腮红,使用頭像的原始腮紅
D_Hoppe_BlushControlType/Name,頬紅制御タイプ,Blush Control Type,볼터치 제어 유형,腮红控制类型,腮红控制类型
D_Hoppe_BlushControlType/Detail,頬紅の制御タイプを選択,Select the type of blush control,볼터치 제어 유형 선택,选择腮红控制类型,选择腮红控制类型
Func/D_Hoppe_ShowExpressionMenu/Name,メニュー表示,Display Menu,메뉴 표시,显示菜单,顯示菜單
Func/D_Hoppe_ShowExpressionMenu/Detail,ExpressionMenuにほっぺメニューを表示,Display the cheek menu in the ExpressionMenu,ExpressionMenu에 볼 메뉴를 표시,在ExpressionMenu中显示脸颊菜单,在ExpressionMenu中顯示臉頰菜單

D_Onaka_Pull/Name,Pull,Pull,당기기,拉动,拉動
D_Onaka_Pull/Detail,元の形に戻ろうとする力,Force to return to the original shape,원래 모양으로 돌아가려는 힘,试图恢复原来的形状的力量,試圖恢復原來的形狀的力量
D_Onaka_Spring/Name,Spring,Spring,스프링,弹簧,彈簧
D_Onaka_Spring/Detail,元の形に戻ろうとするときの弾力,Elasticity when trying to return to the original shape,원래 모양으로 돌아가려 할 때의 탄력,试图恢复原来的形状时的弹性,試圖恢復原來的形狀時的彈性
D_Onaka_Gravity/Name,Gravity,Gravity,중력,重力,重力
D_Onaka_Gravity/Detail,重さ,Weight,무게,重量,重量
D_Onaka_GravityFallOff/Name,Gravity FallOff,Gravity FallOff,중력 감쇠,重力衰减,重力衰減
D_Onaka_GravityFallOff/Detail,止まっているときの重さ無視量,Amount of weight ignored when stopped,멈춰 있을 때의 무게 무시량,停止时忽略的重量,停止時忽略的重量
D_Onaka_Immobile/Name,Immobile,Immobile,움직이지 않음,静止,靜止
D_Onaka_Immobile/Detail,Immobile,動きにくさ,Immobile,움직이지 않음,静止,靜止
D_Onaka_LimitAngle/Name,LimitAngle,Limit Angle,각도 제한,角度限制,角度限制
D_Onaka_LimitAngle/Detail,LimitAngle,角度制限,Limit Angle,각도 제한,角度限制,角度限制
D_Onaka_RadiusTuning/Name,半径調整,Radius Tuning,반경 조정,半径调整,半徑調整
D_Onaka_RadiusTuning/Detail,触り判定のサイズ調整(1が標準),Adjust the size of the touch judgment (1 is standard),터치 판정의 크기 조정(1이 표준),调整触摸判断的大小(1为标准),調整觸摸判斷的大小(1為標準)

Ico_VerView/Name,バージョン表示,Version View,버전 보기,版本视图,版本視圖
Ico_VerView/Detail,周囲のFlatsのFlatsPlusのバージョンを表示する(他者サポート用),Display the version of FlatsPlus for surrounding Flats (for others support),주변의 FlatsPlus의 버전을 표시(다른 사람 지원용),显示周围Flats的FlatsPlus版本(供他人支持),顯示周圍Flats的FlatsPlus版本(供他人支持)

LogAnalyze/PleaseCallMe,ツールの不具合が検出されました。PandraBoxまでログ情報の報告をお願いいたします。,A tool malfunction has been detected. Please report the log information to PandraBox.,도구 오류가 감지되었습니다. PandraBox에 로그 정보를 보고해 주세요.,检测到工具故障。请将日志信息报告给PandraBox.,檢測到工具故障。請將日誌信息報告給PandraBox.
LogAnalyze/Warning,ワーニング(導入できたが、表示異常等が起きる),Warning (installed but display abnormalities etc. occur),경고(설치되었지만 표시 이상 등이 발생),警告（已安装但出现显示异常等）,警告（已安裝但出現顯示異常等）
LogAnalyze/Error,エラー(高い確率で導入失敗),Error (high probability of installation failure),오류(설치 실패 확률이 높음),错误（安装失败的可能性很高）,錯誤（安裝失敗的可能性很高）
Menu/Hoppe,ほっぺ,Cheeks,볼,脸颊,臉頰
Menu/Hoppe/Cheek/TouchAble,触れる,Touchable,만질 수 있음,可触摸,可觸摸
Menu/Hoppe/Blush/Control/Auto,誰でも,Anyone,누구나,任何人,任何人
Menu/Hoppe/Blush/Control/OtherOnly,他者だけ,Others Only,다른 사람만,仅限他人,僅限他人
Menu/Hoppe/Blush/Control/WithoutDance,ダンス以外,Except Dance,댄스 제외,舞蹈除外,舞蹈除外
Menu/Hoppe/Blush/Control/On,常時ON,Always ON,항상 켜짐,始终开启,始終開啟
Menu/Hoppe/Blush/Control/Off,常時OFF,Always OFF,항상 꺼짐,始终关闭,始終關閉

Updater/Checking,更新情報を取得中...,Checking for updates...,업데이트 확인 중...,正在检查更新...,正在檢查更新...
Updater/Error,エラー,Error,오류,错误,錯誤
Updater/CanUseNewVersion,新しいバージョンが利用可能です,New version available,새 버전 사용 가능,有新版本可用,有新版本可用
Updater/Update,アップデート,Update,업데이트,更新,更新
Updater/Newest,お使いのFlatsPlusは最新です,Your FlatsPlus is up to date,사용 중인 FlatsPlus가 최신입니다,您的 FlatsPlus 是最新的,您的 FlatsPlus 是最新的
Updater/Reload,再読込,Reload,다시 읽기,重新加载,重新加載

D_Emo_ConfigFilePath/Name,表情設定ファイル,Emo Config File Path,표정 설정 파일,表情设置文件,表情設置文件
OpenEmoMaker/Name,表情編集,Open Emo Maker,표정 편집,打开表情编辑器,打開表情編輯器
OpenEmoMaker/ButtonName,開く,Open,열기,打开,打開
Emo_Reset/Name,表情リセット,Emo Reset,표정 초기화,重置表情,重置表情
Emo_Reset/ButtonName,リセット,Reset,초기화,重置,重置
Emo_TransitionTime/Name,変化時間,Transition Time,변화 시간,变化时间,變化時間
D_Emo_Preset/Name,表情タイプ,Emo Preset,표정 타입,表情类型,表情類型

Emo/Help/Auto,アバター標準の表情を使用します。表情編集する場合はアバターを指定してからの実施がお勧めです(Autoからだと全て無表情スタートになります)。,Use the standard expressions of the avatar. It is recommended to specify the avatar before editing expressions (starting from Auto will result in all expressions being neutral).,아바타 표준 표정을 사용합니다. 표정 편집을 하려면 아바타를 지정하는 것이 좋습니다(Auto에서 시작하면 모든 표정이 중립이 됩니다).,使用头像的标准表情。建议在编辑表情之前指定头像（从Auto开始将导致所有表情都为中性）。,使用頭像的標準表情。建議在編輯表情之前指定頭像（從Auto開始將導致所有表情都為中性）。
Emo/Help/Custom,表情編集で作成した表情を使用します。,Use the expressions created in the expression editor.,표정 편집에서 만든 표정을 사용합니다.,使用在表情编辑器中创建的表情。,使用在表情編輯器中創建的表情。
Emo/Help/Avatar,指定アバターの表情を使用します(現在のアバターと一致する必要はありません。これは表情編集の初期値として利用されます),Use the specified avatar's expressions (does not need to match the current avatar. This is used as the initial value for expression editing),지정된 아바타의 표정을 사용합니다(현재 아바타와 일치할 필요는 없습니다. 이는 표정 편집의 초기값으로 사용됩니다),使用指定头像的表情（不需要与当前头像匹配。这用作表情编辑的初始值）,使用指定頭像的表情（不需要與當前頭像匹配。這用作表情編輯的初始值）

